Mode XML Parameters
ACO
maxNumIterations	100
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	Simple
maxNumIterations	50
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.5
agImportance	0.5
Maze	dimension	col	#	#ok	#no	avg ok
maze140_5_5.mz	140	5	5	88	12	16.15909090909091
maze140_5_6.mz	140	5	6	77	23	24.48051948051948
maze140_5_7.mz	140	5	7	62	38	33.645161290322584
maze140_5_8.mz	140	5	8	89	11	17.202247191011235
maze140_5_9.mz	140	5	9	93	7	15.56989247311828
maze140_10_0.mz	140	10	0	38	62	40.6578947368421
maze140_10_1.mz	140	10	1	100	0	0.61
maze140_10_2.mz	140	10	2	100	0	1.32
maze140_10_3.mz	140	10	3	64	36	31.65625
maze140_10_4.mz	140	10	4	39	61	37.8974358974359
maze140_10_5.mz	140	10	5	100	0	2.77
maze140_10_6.mz	140	10	6	51	49	30.019607843137255
maze140_10_7.mz	140	10	7	100	0	1.16
maze140_10_8.mz	140	10	8	98	2	3.1122448979591835
maze140_10_9.mz	140	10	9	100	0	8.6
maze140_20_0.mz	140	20	0	97	3	17.5979381443299
maze140_20_1.mz	140	20	1	53	47	31.150943396226417
maze140_20_2.mz	140	20	2	84	16	25.36904761904762
maze140_20_3.mz	140	20	3	82	18	28.378048780487806
maze140_20_4.mz	140	20	4	93	7	16.387096774193548
maze140_20_5.mz	140	20	5	100	0	2.55
maze140_20_6.mz	140	20	6	75	25	20.68
maze140_20_7.mz	140	20	7	89	11	22.685393258426966
maze140_20_8.mz	140	20	8	77	23	30.233766233766232
maze140_20_9.mz	140	20	9	97	3	15.68041237113402
maze150_5_0.mz	150	5	0	76	24	32.078947368421055
maze150_5_1.mz	150	5	1	98	2	12.479591836734693
maze150_5_2.mz	150	5	2	27	73	41.25925925925926
maze150_5_3.mz	150	5	3	80	20	19.15
maze150_5_4.mz	150	5	4	2	98	89.0
maze150_5_5.mz	150	5	5	96	4	11.364583333333334
maze150_5_6.mz	150	5	6	42	58	37.19047619047619
maze150_5_7.mz	150	5	7	5	95	61.8
maze150_5_8.mz	150	5	8	85	15	19.729411764705883
maze150_5_9.mz	150	5	9	45	55	38.68888888888889
maze150_10_0.mz	150	10	0	89	11	18.202247191011235
maze150_10_1.mz	150	10	1	37	63	31.45945945945946
maze150_10_2.mz	150	10	2	64	36	33.546875
maze150_10_3.mz	150	10	3	100	0	3.51
maze150_10_4.mz	150	10	4	90	10	17.41111111111111
maze150_10_5.mz	150	10	5	100	0	3.42
maze150_10_6.mz	150	10	6	96	4	10.46875
maze150_10_7.mz	150	10	7	63	37	28.80952380952381
maze150_10_8.mz	150	10	8	78	22	29.5
maze150_10_9.mz	150	10	9	90	10	20.41111111111111
maze150_15_0.mz	150	15	0	54	46	34.851851851851855
maze150_15_1.mz	150	15	1	99	1	8.141414141414142
maze150_15_2.mz	150	15	2	97	3	11.154639175257731
maze150_15_3.mz	150	15	3	87	13	18.298850574712645
maze150_15_4.mz	150	15	4	96	4	14.197916666666666
maze150_15_5.mz	150	15	5	100	0	4.28
maze150_15_6.mz	150	15	6	100	0	8.2
maze150_15_7.mz	150	15	7	99	1	6.91919191919192
maze150_15_8.mz	150	15	8	63	37	28.603174603174605
maze150_15_9.mz	150	15	9	100	0	3.63
maze160_5_0.mz	160	5	0	84	16	27.0
maze160_5_1.mz	160	5	1	82	18	24.878048780487806
maze160_5_2.mz	160	5	2	40	60	36.525
maze160_5_3.mz	160	5	3	39	61	36.17948717948718
maze160_5_4.mz	160	5	4	69	31	28.6231884057971
maze160_5_5.mz	160	5	5	85	15	23.858823529411765
maze160_5_6.mz	160	5	6	7	93	55.285714285714285
maze160_5_7.mz	160	5	7	99	1	8.202020202020202
maze160_5_8.mz	160	5	8	46	54	35.93478260869565
maze160_5_9.mz	160	5	9	77	23	27.77922077922078
maze160_10_0.mz	160	10	0	97	3	13.649484536082474
maze160_10_1.mz	160	10	1	75	25	22.84
maze160_10_2.mz	160	10	2	100	0	2.58
maze160_10_3.mz	160	10	3	93	7	16.763440860215052
maze160_10_4.mz	160	10	4	80	20	30.7
maze160_10_5.mz	160	10	5	19	81	55.8421052631579
maze160_10_6.mz	160	10	6	99	1	13.262626262626263
maze160_10_7.mz	160	10	7	100	0	2.13
maze160_10_8.mz	160	10	8	40	60	39.05
maze160_10_9.mz	160	10	9	92	8	19.72826086956522
maze160_20_0.mz	160	20	0	29	71	41.93103448275862
maze160_20_1.mz	160	20	1	95	5	9.557894736842105
maze160_20_2.mz	160	20	2	55	45	33.872727272727275
maze160_20_3.mz	160	20	3	78	22	27.192307692307693
maze160_20_4.mz	160	20	4	100	0	0.44
maze160_20_5.mz	160	20	5	99	1	5.1313131313131315
maze160_20_6.mz	160	20	6	67	33	32.37313432835821
maze160_20_7.mz	160	20	7	14	86	48.142857142857146
maze160_20_8.mz	160	20	8	34	66	40.794117647058826
maze160_20_9.mz	160	20	9	96	4	10.09375
maze170_5_0.mz	170	5	0	66	34	25.09090909090909
maze170_5_1.mz	170	5	1	82	18	27.658536585365855
maze170_5_2.mz	170	5	2	9	91	29.88888888888889
maze170_5_3.mz	170	5	3	36	64	34.55555555555556
maze170_5_4.mz	170	5	4	34	66	44.73529411764706
maze170_5_5.mz	170	5	5	17	83	53.294117647058826
maze170_5_6.mz	170	5	6	85	15	26.08235294117647
maze170_5_7.mz	170	5	7	79	21	19.443037974683545
maze170_5_8.mz	170	5	8	19	81	38.8421052631579
maze170_5_9.mz	170	5	9	21	79	41.142857142857146
maze170_10_0.mz	170	10	0	100	0	3.27
maze170_10_1.mz	170	10	1	55	45	32.74545454545454
maze170_10_2.mz	170	10	2	46	54	34.54347826086956
maze170_10_3.mz	170	10	3	2	98	59.5
maze170_10_4.mz	170	10	4	99	1	2.0707070707070705
maze170_10_5.mz	170	10	5	2	98	67.0
maze170_10_6.mz	170	10	6	100	0	2.4
maze170_10_7.mz	170	10	7	85	15	23.435294117647057
maze170_10_8.mz	170	10	8	89	11	21.89887640449438
maze170_10_9.mz	170	10	9	100	0	3.36
maze180_5_0.mz	180	5	0	9	91	37.333333333333336
maze180_5_1.mz	180	5	1	22	78	37.40909090909091
maze180_5_2.mz	180	5	2	61	39	31.147540983606557
maze180_5_3.mz	180	5	3	30	70	36.166666666666664
maze180_5_4.mz	180	5	4	4	96	63.75
maze180_5_5.mz	180	5	5	6	94	46.666666666666664
maze180_5_6.mz	180	5	6	63	37	27.682539682539684
maze180_5_7.mz	180	5	7	65	35	30.784615384615385
maze180_5_8.mz	180	5	8	7	93	45.285714285714285
maze180_5_9.mz	180	5	9	32	68	38.5625
maze180_10_0.mz	180	10	0	34	66	35.61764705882353
maze180_10_1.mz	180	10	1	96	4	9.802083333333334
maze180_10_2.mz	180	10	2	60	40	29.85
maze180_10_3.mz	180	10	3	100	0	9.33
maze180_10_4.mz	180	10	4	78	22	21.94871794871795
maze180_10_5.mz	180	10	5	97	3	5.948453608247423
maze180_10_6.mz	180	10	6	97	3	7.969072164948454
maze180_10_7.mz	180	10	7	69	31	30.768115942028984
maze180_10_8.mz	180	10	8	88	12	17.943181818181817
maze180_10_9.mz	180	10	9	52	48	35.28846153846154
maze180_15_0.mz	180	15	0	0	100	NaN
maze180_15_1.mz	180	15	1	72	28	29.22222222222222
maze180_15_2.mz	180	15	2	29	71	39.3448275862069
maze180_15_3.mz	180	15	3	100	0	1.25
maze180_15_4.mz	180	15	4	25	75	40.16
maze180_15_5.mz	180	15	5	100	0	6.73
maze180_15_6.mz	180	15	6	82	18	22.70731707317073
maze180_15_7.mz	180	15	7	98	2	13.418367346938776
maze180_15_8.mz	180	15	8	100	0	0.21
maze180_15_9.mz	180	15	9	100	0	7.79
maze180_20_0.mz	180	20	0	42	58	32.166666666666664
maze180_20_1.mz	180	20	1	49	51	44.95918367346939
maze180_20_2.mz	180	20	2	5	95	40.0
maze180_20_3.mz	180	20	3	3	97	39.666666666666664
maze180_20_4.mz	180	20	4	31	69	35.096774193548384
